"year(""PostedData_Formatted"")",Item,count_jobs_2022,median_salary_2022,agency_count_2022,Include,Description,Wikipedia Link
2022,Python,1168,109639,139,Y,"Python is an interpreted, high-level and general-purpose programming language. Python's design philosophy emphasizes code readability with its notable use of significant indentation. Python has many use cases, but has been adopted at scale by data scientists in reason years.",https://en.wikipedia.org/wiki/Python_(programming_language)?wprov=sfti1
2022,Power BI,464,102775.5,66,Y,Power BI is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards. It is part of the Microsoft Power Platform.,https://en.wikipedia.org/wiki/Microsoft_Power_BI?wprov=sfti1
2022,Data visualization,673,112675,108,Y,"Data visualization is an interdisciplinary field that deals with the graphic representation of data.Data and information visualization has its roots in the field of statistics, as early as the 18th century, and is therefore generally considered a branch of descriptive statistics. However, because both design skills and statistical and computing skills are required to visualize effectively, it is argued by academics that it is both an art and a science.",https://en.wikipedia.org/wiki/Data_and_information_visualization?wprov=sfti1
2022,Data Science,907,116909.5,139,Y,"Data science is an interdisciplinary academic field that uses statistics, scientific computing, scientific methods, processes, algorithms and systems to extract or extrapolate knowledge and insights from noisy, structured, and unstructured data.",https://en.wikipedia.org/wiki/Data_science?wprov=sfti1
2022,Business intelligence,714,112379.25,118,Y,"Business intelligence (BI) comprises the strategies and technologies used by enterprises for the data analysis and management of business information. Common functions of business intelligence technologies include reporting, online analytical processing, analytics, dashboard development, data mining, process mining, complex event processing, business performance management, benchmarking, text mining, predictive analytics, and prescriptive analytics.",https://en.wikipedia.org/wiki/Business_intelligence?wprov=sfti1
2022,Stata,232,110368.5,48,Y,"Stata is a general-purpose statistical software package developed by StataCorp for data manipulation, visualization, statistics, and automated reporting. It is used by researchers in many fields, including biomedicine, epidemiology, sociology and science.",https://en.wikipedia.org/wiki/Stata?wprov=sfti1
2022,Artificial Intelligence,532,128248.5,86,Y,"Artificial intelligence (AI) is intelligence—perceiving, synthesizing, and inferring information—demonstrated by machines, as opposed to intelligence displayed by non-human animals and humans. Example tasks in which this is done include speech recognition, computer vision, translation between (natural) languages, as well as other mappings of inputs.",https://en.wikipedia.org/wiki/Artificial_intelligence?wprov=sfti1
2022,Machine Learning,635,119674.5,95,Y,"Machine learning (ML) is a field of inquiry devoted to understanding and building methods that ""learn"" – that is, methods that leverage data to improve performance on some set of tasks. It is seen as a part of artificial intelligence.",https://en.wikipedia.org/wiki/Machine_learning?wprov=sfti1
2022,Tableau,557,110368.5,95,Y,"Tableau is a data vizualization tool. Tableau products query relational databases, online analytical processing cubes, cloud databases, and spreadsheets to generate graph-type data visualizations. The software can also extract, store, and retrieve data from an in-memory data engine.",https://en.wikipedia.org/wiki/Tableau_Software?wprov=sfti1
2022,Data Engineering,100,127594.75,30,Y,"Data engineering refers to the building of systems to enable the collection and usage of data. This data is usually used to enable subsequent analysis and data science; which often involves machine learning.[1][2] Making the data usable usually involves substantial compute and storage, as well as data processing and cleaning.",https://en.wikipedia.org/wiki/Data_engineering?wprov=sfti1
